,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
559,Chris O'Grady,eng ENG,FW,Sheffield United,28,1986,4,4,292,3.2,1,0,1,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches,da7c9e6f
560,Liam O'Neil,eng ENG,DFMF,Scunthorpe,21,1993,22,21,1846,20.5,2,5,7,2,0,0,2,0,0.10,0.24,0.34,0.10,0.34,Matches,22e07c17
561,Luke O'Neill,eng ENG,DFMF,Scunthorpe,22,1991,13,13,1170,13.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,0b8720ce
562,Luke O'Neill,eng ENG,DFMF,Leyton Orient,22,1991,8,8,696,7.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0b8720ce
563,Jay O'Shea,ie IRL,MF,Chesterfield,25,1988,41,27,2523,28.0,7,1,8,6,1,1,4,0,0.25,0.04,0.29,0.21,0.25,Matches,2100a116
564,John O'Sullivan,ie IRL,FWMF,Barnsley,20,1993,8,7,604,6.7,0,3,3,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,Matches,6a6165d9
565,Tommy O'Sullivan,wls WAL,MF,Port Vale,19,1995,5,1,161,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e48a00b5
566,Rhys Oates,eng ENG,FWMF,Barnsley,19,1994,9,0,106,1.2,0,2,2,0,0,0,0,0,0.00,1.70,1.70,0.00,1.70,Matches,2fd98a53
567,Jonathan Obika,eng ENG,FW,Swindon Town,23,1990,32,21,1672,18.6,8,0,8,8,0,0,0,0,0.43,0.00,0.43,0.43,0.43,Matches,ccecacd5
568,Sanmi Odelusi,eng ENG,FW,Coventry City,21,1993,14,4,520,5.8,3,0,3,3,0,0,0,0,0.52,0.00,0.52,0.52,0.52,Matches,dc6d59e0
569,Magnus Okuonghae,ng NGA,DF,Colchester,28,1986,9,8,760,8.4,1,0,1,1,0,0,1,1,0.12,0.00,0.12,0.12,0.12,Matches,bdfdad23
570,Bobby Olejnik,at AUT,GK,Scunthorpe,27,1986,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f35955db
571,Vadaine Oliver,eng ENG,FW,Crewe Alexandra,22,1991,9,6,526,5.8,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches,b00ec28d
572,Elliot Omozusi,eng ENG,DF,Leyton Orient,25,1988,25,24,2081,23.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,cb604608
573,Michael Onovwigun,eng ENG,MF,Chesterfield,18,1996,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3b539105
574,Karleigh Osborne,eng ENG,DF,Colchester,26,1988,4,4,320,3.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1e27b998
575,Karleigh Osborne,eng ENG,DF,Bristol City,26,1988,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1e27b998
