 
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
423,Miguel Llera,es ESP,DF,Brentford,31,1979,11,10,890,9.9,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,b58a6d72
424,Miguel Llera,es ESP,DF,Sheffield Weds,31,1979,20,15,1488,16.5,4,2,6,4,0,0,3,0,0.24,0.12,0.36,0.24,0.36,b58a6d72
425,Billy Lobjoit,eng ENG,FW,Leyton Orient,17,1993,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,7e20ae52
426,Richard Logan,eng ENG,FW,Exeter City,29,1982,28,11,1288,14.3,5,0,5,5,0,0,2,0,0.35,0.00,0.35,0.35,0.35,40f5c97e
427,Shay Logan,eng ENG,DFMF,Brentford,23,1988,27,26,2277,25.3,3,3,6,3,0,0,4,0,0.12,0.12,0.24,0.12,0.24,e5895f93
428,George Long,eng ENG,GK,Sheffield United,17,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,754e3f2d
429,Kevin Long,ie IRL,DF,Rochdale,20,1990,16,16,1376,15.3,0,1,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,5a4280b1
430,Stacy Long,eng ENG,MF,Stevenage,26,1985,30,18,1388,15.4,1,2,3,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,45645516
431,Steve Lovell,eng ENG,FW,Bournemouth,30,1980,2,1,122,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,fd616d2f
432,Ryan Lowe,eng ENG,FW,Sheffield Weds,32,1978,26,11,1200,13.3,8,1,9,7,1,1,3,0,0.60,0.07,0.68,0.52,0.60,c101ca3b
433,Ryan Lowe,eng ENG,FW,Bury,32,1978,5,5,448,5.0,4,0,4,4,0,0,1,0,0.80,0.00,0.80,0.80,0.80,c101ca3b
434,Jamie Lowry,eng ENG,MF,Chesterfield,24,1987,6,2,258,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0655e442
435,Matthew Lowton,eng ENG,DF,Sheffield United,22,1989,44,44,3901,43.3,6,4,10,6,0,0,4,1,0.14,0.09,0.23,0.14,0.23,9a9c05db
436,Rory Loy,sct SCO,FW,Carlisle United,23,1988,20,18,1439,16.0,3,1,4,2,1,1,0,0,0.19,0.06,0.25,0.13,0.19,e56db0ca
437,David Lucas,eng ENG,GK,Rochdale,33,1977,16,16,1330,14.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,6c076ace
438,Matty Lund,nir NIR,MF,Oldham Athletic,20,1990,3,2,186,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,67f4129a
439,Nathan Luscombe,eng ENG,MF,Hartlepool,21,1989,13,3,447,5.0,1,0,1,1,0,0,1,1,0.20,0.00,0.20,0.20,0.20,768bb957
440,Youssouf M'Changama,km COM,MF,Oldham Athletic,20,1990,10,8,700,7.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,e05082d1
441,Jean-Yves M'voto,fr FRA,DF,Oldham Athletic,22,1988,36,35,3074,34.2,1,1,2,1,0,0,4,2,0.03,0.03,0.06,0.03,0.06,7136563a
442,Charlie MacDonald,eng ENG,FW,Brentford,30,1981,3,0,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,bf812107
443,Charlie MacDonald,eng ENG,FW,MK Dons,30,1981,35,29,2477,27.5,9,7,16,9,0,0,1,0,0.33,0.25,0.58,0.33,0.58,bf812107
444,Shaun MacDonald,wls WAL,MF,Bournemouth,23,1988,25,22,1920,21.3,1,1,2,1,0,0,0,0,0.05,0.05,0.09,0.05,0.09,fdcff59c
445,Jon Macken,ie IRL,FW,Walsall,33,1977,37,33,2562,28.5,7,4,11,5,2,2,4,0,0.25,0.14,0.39,0.18,0.32,b3e2544a
446,Gary MacKenzie,sct SCO,DF,MK Dons,25,1985,26,26,2275,25.3,1,2,3,1,0,0,4,2,0.04,0.08,0.12,0.04,0.12,219a9295
447,Steven MacLean,sct SCO,FW,Yeovil Town,28,1982,20,14,1170,13.0,3,1,4,2,1,1,5,0,0.23,0.08,0.31,0.15,0.23,8e7b0ba8
448,Paddy Madden,ie IRL,FWMF,Carlisle United,21,1990,18,6,677,7.5,1,0,1,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,9c708676
449,Gary Madine,eng ENG,FW,Sheffield Weds,20,1990,38,36,3078,34.2,18,1,19,17,1,1,7,1,0.53,0.03,0.56,0.50,0.53,e3e6502a
450,Guy Madjo,cm CMR,FW,Stevenage,27,1984,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,9955ef50
451,Harry Maguire,eng ENG,DF,Sheffield United,18,1993,44,44,3960,44.0,1,3,4,1,0,0,5,1,0.02,0.07,0.09,0.02,0.09,d8931174
452,Gavin Mahon,eng ENG,MF,Notts County,34,1977,31,23,2024,22.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,410f9002
453,Scott Malone,eng ENG,DFMF,Bournemouth,20,1991,32,28,2458,27.3,5,3,8,5,0,0,2,0,0.18,0.11,0.29,0.18,0.29,f15a50e8
454,Sam Mantom,eng ENG,MF,Walsall,19,1992,13,13,1170,13.0,3,1,4,3,0,0,0,0,0.23,0.08,0.31,0.23,0.31,e60f37af
455,Alex Marrow,eng ENG,MF,Preston,21,1990,4,3,354,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,015a0aa2
456,Keanu Marsh-Brown,gy GUY,MF,Oldham Athletic,18,1992,11,5,532,5.9,1,1,2,1,0,0,1,1,0.17,0.17,0.34,0.17,0.34,7d9d4111
457,Ben Marshall,eng ENG,DFFW,Sheffield Weds,20,1991,22,22,1892,21.0,5,6,11,5,0,0,2,0,0.24,0.29,0.52,0.24,0.52,bc1e204d
458,Paul Marshall,eng ENG,MF,Rochdale,22,1989,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,e7b5c8c4
459,Dave Martin,eng ENG,MF,Walsall,26,1985,4,4,319,3.5,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,e1160d44
460,David Martin,eng ENG,GK,MK Dons,25,1986,46,46,4139,46.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,07666c20
461,Gavin Massey,eng ENG,FWMF,Yeovil Town,18,1992,16,8,910,10.1,3,0,3,3,0,0,1,0,0.30,0.00,0.30,0.30,0.30,2d20498b
462,Gavin Massey,eng ENG,FWMF,Colchester,18,1992,8,4,399,4.4,0,1,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,2d20498b
463,Dwayne Mattis,ie IRL,MF,Chesterfield,30,1981,7,6,487,5.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,c3002bed
464,Ben May,eng ENG,FW,Stevenage,27,1984,7,2,234,2.6,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,2f6be4c5
465,Danny Mayor,eng ENG,MF,Preston,20,1990,36,22,2235,24.8,2,5,7,2,0,0,1,0,0.08,0.20,0.28,0.08,0.28,71e01c7f
466,Conor McAleny,eng ENG,FWMF,Scunthorpe,18,1992,3,2,206,2.3,0,2,2,0,0,0,1,0,0.00,0.87,0.87,0.00,0.87,5dc37d9d
