,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
714,Paul Thirlwell,eng ENG,MF,Carlisle United,34,1979,27,27,2248,25.0,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,3f658e48
715,Conor Thomas,eng ENG,MF,Coventry City,19,1993,43,40,3563,39.6,0,1,1,0,0,0,10,0,0.00,0.03,0.03,0.00,0.03,4d7f3b9c
716,George Thomas,wls WAL,FWMF,Coventry City,16,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,7ef24097
717,Wes Thomas,eng ENG,FW,Rotherham,26,1987,13,8,642,7.1,5,1,6,5,0,0,0,0,0.70,0.14,0.84,0.70,0.84,731350ad
718,Curtis Thompson,eng ENG,MF,Notts County,19,1993,11,8,711,7.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,282e4e38
719,Garry Thompson,eng ENG,MF,Bradford City,32,1980,44,29,2355,26.2,2,2,4,2,0,0,4,0,0.08,0.08,0.15,0.08,0.15,b549d5b2
720,Joe Thompson,eng ENG,MF,Tranmere Rovers,24,1989,6,6,372,4.1,2,1,3,2,0,0,2,0,0.48,0.24,0.73,0.48,0.73,245ea70b
721,Louis Thompson,wls WAL,MF,Swindon Town,18,1994,29,18,1784,19.8,2,0,2,2,0,0,4,0,0.10,0.00,0.10,0.10,0.10,390a1184
722,Nathan Thompson,eng ENG,DF,Swindon Town,22,1990,40,40,3314,36.8,1,1,2,1,0,0,10,1,0.03,0.03,0.05,0.03,0.05,89a323f2
723,Michael Tidser,sct SCO,MF,Rotherham,23,1990,10,2,262,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,acfb1635
724,Gavin Tomlin,eng ENG,FWMF,Port Vale,30,1983,24,17,1535,17.1,5,0,5,4,1,1,0,0,0.29,0.00,0.29,0.23,0.23,ec714d12
725,Lee Tomlin,eng ENG,FWMF,Peterborough,24,1989,19,19,1572,17.5,5,5,10,3,2,3,5,3,0.29,0.29,0.57,0.17,0.46,ef1739b9
726,Matt Tootle,eng ENG,DF,Crewe Alexandra,22,1990,43,43,3846,42.7,0,2,2,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,80a82fcd
727,Sergio Torres,ar ARG,MF,Crawley Town,32,1981,22,6,741,8.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,11fd3086
728,Oumare Tounkara,fr FRA,FW,Stevenage,23,1990,15,6,657,7.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,9ff2d8de
729,Conor Townsend,eng ENG,DFMF,Carlisle United,20,1993,12,10,951,10.6,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,4dc4f138
730,Ben Tozer,eng ENG,DFMF,Colchester,23,1990,1,1,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0df7e28d
731,Marcello Trotta,it ITA,FW,Brentford,20,1992,37,28,2243,24.9,13,3,16,12,1,2,3,0,0.52,0.12,0.64,0.48,0.60,acdad0aa
732,Matt Tubbs,eng ENG,FW,Crawley Town,29,1984,18,18,1489,16.5,8,2,10,6,2,3,2,0,0.48,0.12,0.60,0.36,0.48,49e3c453
733,Matt Tubbs,eng ENG,FW,Rotherham,29,1984,17,7,632,7.0,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,49e3c453
734,Blair Turgott,jm JAM,FWMF,Rotherham,19,1994,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2c272afa
735,Blair Turgott,jm JAM,FWMF,Colchester,19,1994,4,3,274,3.0,1,1,2,1,0,0,0,0,0.33,0.33,0.66,0.33,0.66,2c272afa
736,Rhys Turner,eng ENG,FW,Oldham Athletic,18,1995,2,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1917b82a
737,Oliver Turton,eng ENG,DFMF,Crewe Alexandra,20,1992,12,8,722,8.0,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,01753a47
738,Nathan Tyson,eng ENG,FW,Notts County,31,1982,10,4,416,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,8cab3924
739,Gozie Ugwu,eng ENG,FW,Shrewsbury,20,1993,7,7,579,6.4,1,1,2,1,0,0,0,0,0.16,0.16,0.31,0.16,0.31,faf3a4e1
740,Kyle Vassell,nir NIR,FW,Peterborough,20,1993,6,3,250,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1f74bb10
741,Josh Vela,eng ENG,DFMF,Notts County,19,1993,6,6,516,5.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,dede4a42
742,Javi Venta,es ESP,DF,Brentford,37,1975,1,0,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,fc3efd36
743,Romain Vincelot,fr FRA,DFMF,Leyton Orient,27,1985,39,38,3282,36.5,0,1,1,0,0,0,10,1,0.00,0.03,0.03,0.00,0.03,f5838e66
744,Dominic Vose,eng ENG,MF,Colchester,19,1993,27,19,1553,17.3,0,3,3,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,277f04f8
745,Haris Vučkić,si SVN,FWMF,Rotherham,20,1992,22,9,747,8.3,4,1,5,4,0,0,1,0,0.48,0.12,0.60,0.48,0.60,a8f4dfb9
746,Scott Wagstaff,eng ENG,MF,Bristol City,23,1990,37,35,3026,33.6,5,2,7,5,0,0,5,0,0.15,0.06,0.21,0.15,0.21,81d066f9
747,Tyrell Waite,eng ENG,DF,Notts County,19,1994,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,d43c21bf
748,Connor Waldon,eng ENG,FW,Swindon Town,18,1995,3,1,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,6c337d2e
749,Sam Walker,eng ENG,GK,Colchester,21,1991,46,46,4140,46.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,06ec123a
750,James Wallace,eng ENG,MF,Tranmere Rovers,21,1991,18,16,1336,14.8,2,2,4,2,0,0,3,1,0.13,0.13,0.27,0.13,0.27,506bbd45
751,Joe Walsh,wls WAL,DFMF,Crawley Town,21,1992,39,39,3489,38.8,5,0,5,5,0,0,3,0,0.13,0.00,0.13,0.13,0.13,ba177c39
752,Darren Ward,eng ENG,DF,Swindon Town,34,1978,36,36,3195,35.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,9ae008d4
753,Conor Washington,nir NIR,FW,Peterborough,21,1992,17,12,1110,12.3,4,1,5,4,0,0,0,0,0.32,0.08,0.41,0.32,0.41,a20986b6
754,Billy Waters,eng ENG,FWMF,Crewe Alexandra,18,1994,9,1,176,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,19dc8fb7
755,Sanchez Watt,eng ENG,FWMF,Colchester,22,1991,22,19,1633,18.1,3,4,7,3,0,0,3,1,0.17,0.22,0.39,0.17,0.39,836c6717
756,Chris Weale,eng ENG,GK,Shrewsbury,31,1982,35,35,3150,35.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1760ea72
757,Andy Webster,sct SCO,DF,Coventry City,31,1982,41,40,3586,39.8,2,1,3,2,0,0,5,0,0.05,0.03,0.08,0.05,0.08,f0c22147
