,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
75,James Berrett,ie IRL,MF,Carlisle United,23,1989,42,42,3681,40.9,2,2,4,2,0,0,7,0,0.05,0.05,0.10,0.05,0.10,7993b498
76,Federico Bessone,ar ARG,DF,Swindon Town,28,1984,5,4,362,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,7570ed49
77,Bartosz Białkowski,pl POL,GK,Notts County,25,1987,40,40,3482,38.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,4b5e809f
78,Jake Bidwell,eng ENG,DFMF,Brentford,19,1993,40,37,3281,36.5,0,1,1,0,0,0,4,1,0.00,0.03,0.03,0.00,0.03,676b6c9b
79,Andy Bishop,eng ENG,FW,Bury,29,1982,24,19,1740,19.3,4,2,6,3,1,1,1,0,0.21,0.10,0.31,0.16,0.26,e793de7f
80,Neal Bishop,eng ENG,MF,Notts County,30,1981,41,40,3553,39.5,7,2,9,7,0,0,9,1,0.18,0.05,0.23,0.18,0.23,2c7b276d
81,Paul Black,eng ENG,DF,Tranmere Rovers,22,1990,10,2,285,3.2,0,1,1,0,0,0,0,0,0.00,0.32,0.32,0.00,0.32,f1ad798a
82,Nick Blackman,bb BRB,FWMF,Sheffield United,22,1989,28,28,2413,26.8,11,6,17,5,6,6,4,0,0.41,0.22,0.63,0.19,0.41,d4e7c451
83,Robbie Blake,eng ENG,FWMF,Doncaster,36,1976,7,0,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,ddc0a1fd
84,Dominic Blizzard,eng ENG,MF,Yeovil Town,28,1983,24,15,1485,16.5,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,4a05e540
85,Jacob Blyth,eng ENG,FW,Notts County,19,1992,4,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,419dfe1f
86,Zak Boagey,eng ENG,FW,Hartlepool,17,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,78b91849
87,Andrew Bond,eng ENG,DFMF,Crewe Alexandra,26,1986,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0a2e8037
88,Andrew Bond,eng ENG,DFMF,Colchester,26,1986,27,16,1524,16.9,0,2,2,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,0a2e8037
89,John Bostock,tt TRI,MF,Swindon Town,20,1992,8,6,497,5.5,0,1,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,46291841
90,Andre Boucaud,tt TRI,MF,Notts County,27,1984,39,38,3225,35.8,1,3,4,1,0,0,5,2,0.03,0.08,0.11,0.03,0.11,24ed0071
91,Dean Bouzanis,au AUS,GK,Oldham Athletic,21,1990,36,36,3240,36.0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0248e806
92,Dean Bowditch,eng ENG,FWMF,MK Dons,26,1986,39,38,3228,35.9,8,10,18,8,0,0,1,0,0.22,0.28,0.50,0.22,0.50,5b20043e
93,George Bowerman,eng ENG,FW,Walsall,20,1991,28,10,1133,12.6,6,1,7,5,1,1,1,0,0.48,0.08,0.56,0.40,0.48,4079ab9a
94,Tom Bradshaw,wls WAL,FW,Shrewsbury,20,1992,21,6,680,7.6,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,a9d071f8
95,Febian Brandy,kn SKN,FW,Walsall,23,1989,34,27,2357,26.2,7,4,11,7,0,0,11,1,0.27,0.15,0.42,0.27,0.42,c5193ca1
96,Chris Brown,eng ENG,FW,Doncaster,27,1984,36,28,2608,29.0,8,2,10,8,0,0,4,0,0.28,0.07,0.35,0.28,0.35,baf27774
97,Connor Brown,eng ENG,DFMF,Oldham Athletic,19,1992,25,20,1827,20.3,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,44aea7fc
98,Reece Brown,eng ENG,DFMF,Coventry City,20,1991,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,3c0fba18
99,Ryan Brunt,eng ENG,FW,Leyton Orient,19,1993,18,8,737,8.2,3,1,4,3,0,0,0,0,0.37,0.12,0.49,0.37,0.49,d784a35e
100,David Buchanan,nir NIR,DFMF,Preston,26,1986,33,27,2388,26.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,a49a3e23
101,Alessio Bugno,it ITA,DF,Carlisle United,22,1990,2,2,147,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,fc290b04
102,Jimmy Bullard,eng ENG,MF,MK Dons,33,1978,2,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,d46ae0c2
103,Dannie Bulman,eng ENG,MF,Crawley Town,33,1979,36,26,2264,25.2,1,2,3,1,0,0,3,0,0.04,0.08,0.12,0.04,0.12,fd567e78
104,Harry Bunn,eng ENG,FWMF,Crewe Alexandra,19,1992,4,2,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,c8d840f0
105,Dan Burn,eng ENG,DF,Yeovil Town,20,1992,34,34,3060,34.0,2,0,2,2,0,0,10,1,0.06,0.00,0.06,0.06,0.06,b2d31e83
106,Andy Butler,eng ENG,DF,Walsall,28,1983,41,41,3663,40.7,3,0,3,3,0,0,10,1,0.07,0.00,0.07,0.07,0.07,7a10f219
107,Dan Butler,eng ENG,DFMF,Portsmouth,17,1994,17,15,1374,15.3,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,84dd2a1f
108,Ákos Buzsáky,hu HUN,MF,Portsmouth,30,1982,6,5,393,4.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3fe9ae90
109,Cliff Byrne,ie IRL,DF,Oldham Athletic,30,1982,35,32,2688,29.9,1,1,2,1,0,0,5,1,0.03,0.03,0.07,0.03,0.07,d3d5df89
110,Nathan Byrne,eng ENG,DFMF,Crawley Town,20,1992,12,11,960,10.7,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,c4041fbc
111,Nathan Byrne,eng ENG,DFMF,Swindon Town,20,1992,7,6,576,6.4,0,1,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,c4041fbc
112,Shane Byrne,ie IRL,MF,Bury,19,1993,3,1,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,5c6da0d8
113,Joel Byrom,eng ENG,MF,Preston,25,1986,22,12,1212,13.5,2,3,5,2,0,0,3,0,0.15,0.22,0.37,0.15,0.37,ea1ded73
114,Danny Cadamarteri,eng ENG,FW,Carlisle United,32,1979,25,14,1229,13.7,2,2,4,1,1,1,1,0,0.15,0.15,0.29,0.07,0.22,ade643d3
115,Nathan Cameron,eng ENG,DF,Coventry City,20,1991,9,8,742,8.2,0,1,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,59eadf36
116,Jamal Campbell-Ryce,jm JAM,FWMF,Notts County,29,1983,37,34,2824,31.4,8,5,13,3,5,6,4,1,0.25,0.16,0.41,0.10,0.25,d02c06d8
117,Niall Canavan,ie IRL,DF,Scunthorpe,21,1991,40,38,3426,38.1,6,0,6,6,0,0,3,0,0.16,0.00,0.16,0.16,0.16,f7ce89e7
118,Josh Carmichael,sct SCO,MF,Bournemouth,17,1994,3,2,170,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,c601442b
119,Sébastien Carole,fr FRA,MF,Bury,29,1982,4,0,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,abea3689
120,Mark Carrington,eng ENG,DFMF,Bury,25,1987,27,20,1781,19.8,0,1,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,c4ef73ec
121,Trevor Carson,nir NIR,GK,Bury,24,1988,39,39,3510,39.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,dc1fe167
122,Jake Cassidy,wls WAL,FW,Tranmere Rovers,19,1993,26,26,2304,25.6,11,2,13,11,0,0,1,0,0.43,0.08,0.51,0.43,0.51,a3cb12c8
123,Luke Chadwick,eng ENG,MF,MK Dons,31,1980,36,30,2603,28.9,6,4,10,6,0,0,5,0,0.21,0.14,0.35,0.21,0.35,9c35f696
124,Adam Chambers,eng ENG,DFMF,Walsall,31,1980,34,34,3050,33.9,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,c04ec549
125,James Chambers,eng ENG,DF,Walsall,31,1980,25,16,1559,17.3,0,2,2,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,4f2a1eb0
126,Chris Chantler,eng ENG,DFMF,Carlisle United,21,1990,25,24,2147,23.9,0,1,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,c5b3ddba
127,Jordan Chapell,eng ENG,FWMF,Sheffield United,20,1991,2,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,6dc8d46e
128,Darius Charles,eng ENG,DFFW,Stevenage,24,1987,37,33,3088,34.3,1,2,3,1,0,0,6,1,0.03,0.06,0.09,0.03,0.09,35bc4906
129,Adam Chicksen,zw ZIM,DFMF,MK Dons,20,1991,32,25,2342,26.0,2,2,4,2,0,0,8,0,0.08,0.08,0.15,0.08,0.15,c87352d6
130,Ben Chorley,eng ENG,DF,Leyton Orient,29,1982,28,27,2473,27.5,2,0,2,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07,2a6839d7
131,Ben Chorley,eng ENG,DF,Stevenage,29,1982,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2a6839d7
132,Cyrus Christie,ie IRL,DFMF,Coventry City,19,1992,31,31,2787,31.0,2,1,3,2,0,0,5,0,0.06,0.03,0.10,0.06,0.10,7eb67dad
133,Alex Cisak,au AUS,GK,Oldham Athletic,23,1989,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1bbe1801
134,Alex Cisak,au AUS,GK,Portsmouth,23,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1bbe1801
135,Billy Clarke,ie IRL,FWMF,Crawley Town,24,1987,36,28,2434,27.0,10,0,10,9,1,1,3,0,0.37,0.00,0.37,0.33,0.33,8286db68
136,Jordan Clarke,eng ENG,DF,Coventry City,20,1991,20,15,1493,16.6,0,2,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,08229d38
137,Leon Clarke,eng ENG,FW,Coventry City,27,1985,12,11,1008,11.2,8,0,8,8,0,0,0,0,0.71,0.00,0.71,0.71,0.71,91c975a0
138,Leon Clarke,eng ENG,FW,Scunthorpe,27,1985,15,14,1287,14.3,12,0,12,10,2,2,0,0,0.84,0.00,0.84,0.70,0.70,91c975a0
139,Nathan Clarke,eng ENG,DFMF,Leyton Orient,28,1983,34,32,2865,31.8,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,3a8ce088
140,Jonson Clarke-Harris,jm JAM,FW,Bury,18,1994,12,4,496,5.5,4,1,5,4,0,0,1,0,0.73,0.18,0.91,0.73,0.91,260af28b
141,Max Clayton,eng ENG,FW,Crewe Alexandra,17,1994,35,22,2066,23.0,4,2,6,4,0,0,0,0,0.17,0.09,0.26,0.17,0.26,f30a0031
142,Billy Clifford,eng ENG,MF,Colchester,19,1992,18,18,1524,16.9,1,2,3,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18,ac30d565
143,Conor Clifford,ie IRL,MF,Portsmouth,20,1991,2,0,43,0.5,1,0,1,1,0,0,0,0,2.09,0.00,2.09,2.09,2.09,55df1b99
144,Conor Clifford,ie IRL,MF,Crawley Town,20,1991,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,55df1b99
145,Sammy Clingan,nir NIR,MF,Doncaster,28,1984,6,1,236,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,f67bdda1
146,John Cofie,eng ENG,FW,Sheffield United,19,1993,16,8,681,7.6,2,1,3,2,0,0,0,0,0.26,0.13,0.40,0.26,0.40,98d91ecf
147,John Cofie,eng ENG,FW,Notts County,19,1993,7,6,439,4.9,1,1,2,1,0,0,0,0,0.21,0.21,0.41,0.21,0.41,98d91ecf
148,Giles Coke,eng ENG,MF,Swindon Town,26,1986,4,1,104,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,cb2a1fd2
149,Ben Coker,eng ENG,DFMF,Colchester,23,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,40c4f987
150,Ryan Colclough,eng ENG,FWMF,Crewe Alexandra,17,1994,18,5,638,7.1,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,e6e6ff5c
151,Adam Collin,eng ENG,GK,Carlisle United,27,1984,12,11,1012,11.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,ffa731bc
152,James Collins,ie IRL,FW,Swindon Town,21,1990,45,27,2405,26.7,15,1,16,15,0,0,5,0,0.56,0.04,0.60,0.56,0.60,95471a13
153,Lee Collins,eng ENG,DFMF,Shrewsbury,23,1988,8,8,720,8.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,7b8f9dcd
154,Michael Collins,ie IRL,MF,Scunthorpe,26,1986,29,26,2404,26.7,1,1,2,1,0,0,3,0,0.04,0.04,0.07,0.04,0.07,696b6697
