 
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
70,George Bowerman,eng ENG,FW,Accrington,21,1991,14,10,765,8.5,3,2,5,3,0,0,0,0,0.35,0.24,0.59,0.35,0.59,4079ab9a
71,Ryan Bowman,eng ENG,FW,York City,21,1991,37,22,1997,22.2,8,2,10,6,2,2,1,2,0.36,0.09,0.45,0.27,0.36,89880099
72,Andrew Boyce,eng ENG,DFMF,Scunthorpe,23,1989,2,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,375aaca1
73,Sonny Bradley,eng ENG,DF,Portsmouth,21,1991,33,29,2740,30.4,2,1,3,2,0,0,6,0,0.07,0.03,0.10,0.07,0.10,94ffccb3
74,Craig Braham-Barrett,ms MSR,DF,Cheltenham,25,1988,29,29,2494,27.7,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,57e15a78
75,Guy Branston,eng ENG,DF,Plymouth Argyle,34,1979,12,11,944,10.5,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,7e17f7fe
76,Louis Briscoe,eng ENG,FWMF,Mansfield Town,25,1988,2,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,82110bb9
77,Ryan Brobbel,nir NIR,MF,York City,20,1993,19,16,1339,14.9,4,3,7,4,0,0,0,0,0.27,0.20,0.47,0.27,0.47,cffbf4e2
78,Fabian Broghammer,de GER,MF,Bristol Rovers,23,1990,4,1,177,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,67659d4b
79,Junior Brown,eng ENG,DFMF,Fleetwood Town,24,1989,21,11,1043,11.6,1,1,2,1,0,0,1,0,0.09,0.09,0.17,0.09,0.17,7a094557
80,Lee Brown,eng ENG,DF,Bristol Rovers,22,1990,41,41,3607,40.1,2,7,9,2,0,0,3,0,0.05,0.17,0.22,0.05,0.22,315f6ae9
81,Matty Brown,eng ENG,DFMF,Chesterfield,23,1990,3,2,170,1.9,1,0,1,1,0,0,0,1,0.53,0.00,0.53,0.53,0.53,23ea840e
82,Scott Brown,eng ENG,GK,Cheltenham,28,1985,45,45,4050,45.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,5f95f4d6
83,Seb Brown,eng ENG,GK,AFC Wimbledon,23,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0f9e585d
84,Troy Brown,wls WAL,DF,Cheltenham,22,1990,39,39,3473,38.6,4,1,5,4,0,0,1,0,0.10,0.03,0.13,0.10,0.13,1b63a767
85,Mitch Brundle,eng ENG,DFMF,Cheltenham,18,1994,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,3e061157
86,Ryan Brunt,eng ENG,FW,Bristol Rovers,20,1993,11,9,699,7.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,d784a35e
87,Joe Bunney,eng ENG,DFFW,Rochdale,19,1993,21,7,749,8.3,3,1,4,3,0,0,0,0,0.36,0.12,0.48,0.36,0.48,7d4c4f3b
88,Ryan Burge,eng ENG,MF,Newport County,24,1988,17,12,1108,12.3,2,1,3,2,0,0,1,0,0.16,0.08,0.24,0.16,0.24,fea42f40
89,Christian Burgess,eng ENG,DF,Hartlepool,21,1991,41,41,3678,40.9,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,f8766ef9
90,Scott Burgess,eng ENG,MF,Bury,15,1997,1,1,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,484d449c
91,James Burke,eng ENG,DF,Bury,19,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,c43a7b14
92,Deon Burton,jm JAM,FW,Scunthorpe,36,1976,29,19,1614,17.9,6,2,8,6,0,1,3,0,0.33,0.11,0.45,0.33,0.45,c0567c0f
