,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
101,Gerardo Bruna,es ESP,FWMF,Accrington,24,1991,3,0,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4a943a60
102,Ryan Brunt,eng ENG,FW,Plymouth Argyle,22,1993,34,17,1762,19.6,8,3,11,7,1,1,2,0,0.41,0.15,0.56,0.36,0.51,Matches,d784a35e
103,David Buchanan,nir NIR,DFMF,Northampton,29,1986,46,46,4095,45.5,0,4,4,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,a49a3e23
104,Benjamin Büchel,li LIE,GK,Oxford United,26,1989,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e289d34c
105,Dannie Bulman,eng ENG,MF,AFC Wimbledon,36,1979,42,39,3477,38.6,3,2,5,3,0,0,2,0,0.08,0.05,0.13,0.08,0.13,Matches,fd567e78
106,Christian Burgess,eng ENG,DF,Portsmouth,23,1991,37,37,3313,36.8,2,0,2,2,0,0,8,1,0.05,0.00,0.05,0.05,0.05,Matches,f8766ef9
107,Graham Burke,ie IRL,FWMF,Notts County,21,1993,31,21,1758,19.5,2,4,6,2,0,0,4,0,0.10,0.20,0.31,0.10,0.31,Matches,bc227f51
108,Jamie Burrows,eng ENG,FW,Yeovil Town,20,1995,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4994fb8a
109,Danny Butterfield,eng ENG,DFMF,Exeter City,35,1979,10,8,736,8.2,0,2,2,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,Matches,d0ef7f30
110,Adam Buxton,eng ENG,DF,Accrington,23,1992,28,25,2094,23.3,1,0,1,1,0,0,5,1,0.04,0.00,0.04,0.04,0.04,Matches,cd657bd7
111,Mark Byrne,ie IRL,MF,Newport County,26,1988,46,45,4083,45.4,2,2,4,2,0,0,7,0,0.04,0.04,0.09,0.04,0.09,Matches,f2c487f1
112,Joel Byrom,eng ENG,MF,Northampton,28,1986,35,33,2890,32.1,2,9,11,2,0,0,3,0,0.06,0.28,0.34,0.06,0.34,Matches,ea1ded73
113,Dominic Calvert-Lewin,eng ENG,FWMF,Northampton,18,1997,20,7,906,10.1,5,0,5,5,0,0,2,0,0.50,0.00,0.50,0.50,0.50,Matches,59e6e5bf
114,Kyle Cameron,sct SCO,DF,York City,18,1997,18,18,1618,18.0,1,3,4,1,0,0,0,0,0.06,0.17,0.22,0.06,0.22,Matches,00ebaaef
115,Adam Campbell,eng ENG,FWMF,Notts County,20,1995,44,29,2731,30.3,4,5,9,4,0,0,7,0,0.13,0.16,0.30,0.13,0.30,Matches,e3aa211f
116,Tahvon Campbell,eng ENG,FWMF,Yeovil Town,18,1997,17,8,796,8.8,1,1,2,1,0,0,2,0,0.11,0.11,0.23,0.11,0.23,Matches,106f7efa
117,Graham Carey,ie IRL,DFFW,Plymouth Argyle,26,1989,39,34,3084,34.3,11,11,22,11,0,0,5,0,0.32,0.32,0.64,0.32,0.64,Matches,fb4558af
118,Daniel Carr,tt TRI,FW,Cambridge,21,1994,4,1,107,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7e245150
119,Jake Carroll,ie IRL,DFMF,Hartlepool,23,1991,41,41,3615,40.2,1,5,6,1,0,0,7,0,0.02,0.12,0.15,0.02,0.15,Matches,717d8910
120,Roy Carroll,nir NIR,GK,Notts County,37,1977,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0e880937
121,Josh Carson,nir NIR,MF,York City,22,1993,22,6,701,7.8,1,1,2,1,0,0,4,0,0.13,0.13,0.26,0.13,0.26,Matches,b5d17ad4
122,Trevor Carson,nir NIR,GK,Hartlepool,27,1988,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dc1fe167
123,Marcus Carver,eng ENG,FW,Accrington,21,1993,2,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,330f3e43
124,Matty Cash,pl POL,DFMF,Dag & Red,17,1997,12,12,1010,11.2,3,1,4,3,0,0,1,0,0.27,0.09,0.36,0.27,0.36,Matches,2389cdc2
