,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
74,Marc Bola,eng ENG,MFDF,Middlesbrough,23,1997,23,19,1761,19.6,1,1,2,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,Matches,3986000d
75,Gaëtan Bong,cm CMR,DFMF,Nottingham,33,1988,7,4,444,4.9,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches,cfd5e123
76,Jack Bonham,ie IRL,GK,Stoke City,27,1993,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3539472e
77,Sam Bowen,wls WAL,MF,Cardiff City,20,2001,4,3,244,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e4209f59
78,Josh Bowler,eng ENG,MF,Blackpool,22,1999,42,30,2824,31.4,7,3,10,7,0,0,6,0,0.22,0.10,0.32,0.22,0.32,Matches,ea39a081
79,Caolan Boyd-Munce,nir NIR,MF,Middlesbrough,21,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fe54985b
80,Sonny Bradley,eng ENG,DF,Luton Town,29,1991,22,20,1770,19.7,2,0,2,2,0,0,4,1,0.10,0.00,0.10,0.10,0.10,Matches,94ffccb3
81,Tom Bradshaw,wls WAL,FWMF,Millwall,29,1992,24,16,1346,15.0,9,1,10,9,0,0,2,0,0.60,0.07,0.67,0.60,0.67,Matches,a9d071f8
82,Robbie Brady,ie IRL,MFDF,Bournemouth,29,1992,6,2,194,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,96bb8cc2
83,James Bree,eng ENG,MFDF,Luton Town,23,1997,42,42,3730,41.4,1,6,7,1,0,0,5,0,0.02,0.14,0.17,0.02,0.17,Matches,c07b7c5c
84,David Bremang,eng ENG,FW,Barnsley,21,2000,2,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,63c75e7e
85,Ben Brereton,cl CHI,FWMF,Blackburn,22,1999,37,34,3066,34.1,22,3,25,18,4,4,8,0,0.65,0.09,0.73,0.53,0.62,Matches,57827369
86,Rhian Brewster,eng ENG,FWMF,Sheffield United,21,2000,14,10,797,8.9,3,0,3,3,0,0,2,0,0.34,0.00,0.34,0.34,0.34,Matches,30e81a88
87,Ethan Bristow,kn SKN,MFDF,Reading,19,2001,6,6,495,5.5,0,1,1,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches,cf90e253
88,Callum Brittain,eng ENG,MFDF,Barnsley,23,1998,36,34,3073,34.1,0,3,3,0,0,0,8,0,0.00,0.09,0.09,0.00,0.09,Matches,95869fab
89,David Brooks,wls WAL,FWMF,Bournemouth,24,1997,7,7,500,5.6,1,0,1,1,0,0,3,1,0.18,0.00,0.18,0.18,0.18,Matches,dc4cae05
90,Ciaron Brown,nir NIR,DFMF,Cardiff City,23,1998,5,5,421,4.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,57a2071c
91,Jacob Brown,sct SCO,FW,Stoke City,23,1998,45,38,3249,36.1,13,4,17,13,0,0,8,0,0.36,0.11,0.47,0.36,0.47,Matches,ca18c8f1
92,James Brown,ie IRL,DF,Blackburn,23,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e53336c4
93,Reece Brown,eng ENG,MF,Peterborough,25,1996,8,5,453,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,59dc2fe5
94,Alan Browne,ie IRL,MF,Preston,26,1995,39,35,3210,35.7,4,5,9,4,0,0,6,1,0.11,0.14,0.25,0.11,0.25,Matches,25dea15a
95,Joe Bryan,eng ENG,DF,Fulham,27,1993,15,13,1045,11.6,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,af69e7f0
96,Kean Bryan,eng ENG,DF,West Brom,24,1996,3,1,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c684d3c9
97,Lee Buchanan,eng ENG,DF,Derby County,20,2001,30,24,2220,24.7,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,45e95f21
98,John Buckley,eng ENG,MFFW,Blackburn,21,1999,42,39,3133,34.8,3,7,10,3,0,0,13,0,0.09,0.20,0.29,0.09,0.29,Matches,b3ac41b5
99,Tyler Burey,eng ENG,FWMF,Millwall,19,2001,15,6,618,6.9,2,0,2,2,0,0,2,0,0.29,0.00,0.29,0.29,0.29,Matches,0daa8ef1
100,Oliver Burke,sct SCO,FWMF,Millwall,24,1997,14,10,806,9.0,2,1,3,2,0,0,0,0,0.22,0.11,0.33,0.22,0.33,Matches,f631c17f
101,Oliver Burke,sct SCO,MFFW,Sheffield United,24,1997,3,2,170,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f631c17f
102,Reece Burke,eng ENG,DF,Luton Town,24,1996,27,25,2115,23.5,1,0,1,1,0,0,5,1,0.04,0.00,0.04,0.04,0.04,Matches,a681b7b7
103,Finley Burns,eng ENG,DF,Swansea City,18,2003,3,3,209,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bebe4df1
104,Harrison Burrows,eng ENG,MFDF,Peterborough,19,2002,37,29,2614,29.0,3,7,10,3,0,0,4,0,0.10,0.24,0.34,0.10,0.34,Matches,316a084b
105,Josef Bursik,eng ENG,GK,Stoke City,21,2000,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,16b6648e
106,Dan Butler,eng ENG,DFMF,Peterborough,26,1994,22,19,1664,18.5,0,1,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,Matches,84dd2a1f
