,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
62,Steven Bennett,eng ENG,FW,Barnsley,18,1991,4,0,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,37726f4b
63,Marcus Bent,eng ENG,FW,Sheffield United,32,1978,11,4,379,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,69166246
64,Bruno Berner,ch SUI,DFMF,Leicester City,32,1977,17,15,1399,15.5,1,1,2,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,a85d700b
65,Jens Berthel Askou,dk DEN,DF,Norwich City,27,1982,5,2,179,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,a8f331e0
66,Jens Berthel Askou,dk DEN,DF,Millwall,27,1982,1,1,72,0.8,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,a8f331e0
67,Ryan Bertrand,eng ENG,DFMF,Nottingham,20,1989,19,19,1657,18.4,0,1,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,01226327
68,Federico Bessone,ar ARG,DF,Leeds United,26,1984,6,6,436,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,7570ed49
69,André Bikey,cm CMR,DFMF,Burnley,25,1985,28,27,2324,25.8,2,0,2,2,0,0,7,0,0.08,0.00,0.08,0.08,0.08,2c3ab6dd
70,Dexter Blackstock,ag ATG,FW,Nottingham,24,1986,17,13,1127,12.5,5,1,6,4,1,1,4,0,0.40,0.08,0.48,0.32,0.40,803907c3
71,Darcy Blake,wls WAL,DFMF,Cardiff City,21,1988,26,13,1386,15.4,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,c86f0739
72,Daniel Bogdanović,mt MLT,FWMF,Sheffield United,30,1980,32,12,1257,14.0,5,0,5,2,3,4,1,1,0.36,0.00,0.36,0.14,0.14,a5639a81
73,Fabio Borini,it ITA,FWMF,Swansea City,19,1991,9,8,670,7.4,6,2,8,6,0,0,3,0,0.81,0.27,1.07,0.81,1.07,ef5b337e
74,Gary Borrowdale,eng ENG,DF,QPR,25,1985,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,e6076933
75,John Bostock,tt TRI,MF,Hull City,18,1992,11,8,682,7.6,2,0,2,2,0,0,3,1,0.26,0.00,0.26,0.26,0.26,46291841
76,Jay Bothroyd,eng ENG,FW,Cardiff City,28,1982,37,37,3067,34.1,18,8,26,17,1,1,9,0,0.53,0.23,0.76,0.50,0.73,8cdc5afd
77,Hameur Bouazza,dz ALG,FWMF,Millwall,25,1985,12,3,366,4.1,1,2,3,1,0,0,2,0,0.25,0.49,0.74,0.25,0.74,baca4d08
78,Kris Boyd,sct SCO,FW,Nottingham,26,1983,10,7,521,5.8,6,2,8,4,2,2,1,0,1.04,0.35,1.38,0.69,1.04,e9f4c7c5
79,Kris Boyd,sct SCO,FW,Middlesbrough,26,1983,27,18,1514,16.8,6,1,7,6,0,0,0,0,0.36,0.06,0.42,0.36,0.42,e9f4c7c5
80,John Brayford,eng ENG,DFMF,Derby County,22,1987,46,46,4140,46.0,1,3,4,1,0,0,4,0,0.02,0.07,0.09,0.02,0.09,bab2f2a5
81,Leon Britton,eng ENG,MF,Sheffield United,27,1982,24,22,1983,22.0,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,b92dd711
82,Leon Britton,eng ENG,MF,Swansea City,27,1982,17,10,1016,11.3,1,1,2,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,b92dd711
83,Leigh Bromby,eng ENG,DF,Leeds United,30,1980,13,9,905,10.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,7e29cbe2
84,Steve Brooker,eng ENG,FW,Doncaster,29,1981,13,1,253,2.8,1,0,1,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,e4379211
85,Chris Brown,eng ENG,FW,Preston,25,1984,16,12,991,11.0,1,1,2,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,baf27774
86,Jason Brown,wls WAL,GK,Leeds United,28,1982,4,3,299,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,02bc5b92
87,Michael Brown,eng ENG,MF,Portsmouth,33,1977,21,20,1776,19.7,2,0,2,2,0,0,2,0,0.10,0.00,0.10,0.10,0.10,85543572
88,Troy Brown,wls WAL,DF,Ipswich Town,19,1990,12,6,603,6.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1b63a767
89,Wayne Brown,eng ENG,DF,Preston,32,1977,13,12,1041,11.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,07748ae2
90,Alex Bruce,nir NIR,DF,Leeds United,25,1984,21,21,1799,20.0,1,0,1,1,0,0,4,1,0.05,0.00,0.05,0.05,0.05,102ed2b2
91,Jeffrey Bruma,nl NED,DF,Leicester City,18,1991,11,10,893,9.9,2,1,3,2,0,0,3,1,0.20,0.10,0.30,0.20,0.30,fbffc4b1
92,Michael Bryan,nir NIR,MF,Watford,20,1990,5,4,371,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,b00864fc
93,Will Buckley,eng ENG,FWMF,Watford,20,1989,33,27,2088,23.2,4,4,8,4,0,0,3,0,0.17,0.17,0.34,0.17,0.34,b1929302
94,Alberto Bueno,es ESP,FWMF,Derby County,22,1988,29,25,1873,20.8,5,4,9,5,0,0,4,0,0.24,0.19,0.43,0.24,0.43,9b878773
95,Jimmy Bullard,eng ENG,MF,Ipswich Town,31,1978,16,16,1420,15.8,5,4,9,5,0,0,1,0,0.32,0.25,0.57,0.32,0.57,d46ae0c2
96,Jimmy Bullard,eng ENG,MF,Hull City,31,1978,8,5,528,5.9,2,0,2,1,1,1,0,0,0.34,0.00,0.34,0.17,0.17,d46ae0c2
97,Ryan Burge,eng ENG,MF,Doncaster,21,1988,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,fea42f40
98,Chris Burke,sct SCO,FWMF,Cardiff City,26,1983,44,31,2939,32.7,5,9,14,5,0,0,2,0,0.15,0.28,0.43,0.15,0.43,f11919e9
