,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
102,Warren Burrell,eng ENG,DFMF,Harrogate Town,28,1990,45,45,4050,45.0,4,0,4,4,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,358be144
103,Callum Burton,eng ENG,GK,Chesterfield,21,1996,19,19,1709,19.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,e8d6906d
104,Chris Bush,eng ENG,DF,Ebbsfleet United,26,1992,43,39,3546,39.4,5,0,5,5,0,0,12,0,0.13,0.00,0.13,0.13,0.13,Matches,6d14377a
105,Jamie Butler,eng ENG,GK,Sutton United,26,1992,29,29,2565,28.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5c1d43ef
106,Neill Byrne,ie IRL,DF,Fylde,25,1993,44,44,3958,44.0,2,0,2,2,0,0,7,1,0.05,0.00,0.05,0.05,0.05,Matches,34731ad8
107,Kieron Cadogan,eng ENG,MFDF,Sutton United,27,1990,17,9,851,9.5,3,0,3,3,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches,afbfe2e7
108,Neşet Can Bellikli,tr TUR,MFFW,Sutton United,20,1998,7,2,186,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c2d2b9d2
109,Joe Cardle,eng ENG,MFFW,Fylde,31,1987,17,14,1096,12.2,2,0,2,2,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches,8325a96f
110,George Carline,eng ENG,MF,Solihull Moors,25,1993,30,11,1317,14.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,00f4ce8f
111,Mark Carrington,eng ENG,DFMF,Wrexham,31,1987,29,26,2311,25.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,c4ef73ec
112,Charlie Carter,eng ENG,MFDF,Chesterfield,21,1996,20,15,1191,13.2,4,0,4,4,0,0,0,0,0.30,0.00,0.30,0.30,0.30,Matches,5141a0fc
113,Darren Carter,eng ENG,MFDF,Solihull Moors,34,1983,44,44,3750,41.7,3,0,3,3,0,0,9,0,0.07,0.00,0.07,0.07,0.07,Matches,52fefc5b
114,Michael Carter,eng ENG,DFMF,Havant & W'ville,37,1980,14,9,832,9.2,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,9fb106ed
115,Jake Cass,eng ENG,FW,Braintree Town,,,7,2,170,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8b8bbe08
116,Jake Cassidy,wls WAL,FWMF,Maidstone Utd,25,1993,23,22,1967,21.9,2,0,2,2,0,0,6,0,0.09,0.00,0.09,0.09,0.09,Matches,a3cb12c8
117,Jake Cassidy,wls WAL,FWMF,Hartlepool,25,1993,8,5,443,4.9,2,0,2,2,0,0,1,0,0.41,0.00,0.41,0.41,0.41,Matches,a3cb12c8
118,Alfie Cerulli,eng ENG,MF,Braintree Town,17,2001,4,0,78,0.9,2,0,2,2,0,0,0,0,2.31,0.00,2.31,2.31,2.31,Matches,35f009f3
119,Tom Champion,eng ENG,MFDF,Boreham Wood,32,1986,44,44,3952,43.9,1,0,1,1,0,0,8,0,0.02,0.00,0.02,0.02,0.02,Matches,b8ec2432
120,Ellis Chapman,eng ENG,MFFW,Chesterfield,17,2001,14,13,1169,13.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,40382c9b
121,Ashley Charles,gd GRN,FWMF,Barnet,19,1999,4,3,239,2.7,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,dda3bca4
122,Elliott Charles,gd GRN,FW,Braintree Town,28,1990,2,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,26b48435
123,Michael Cheek,eng ENG,FWMF,Ebbsfleet United,26,1991,39,25,2266,25.2,16,0,16,14,2,2,2,0,0.64,0.00,0.64,0.56,0.56,Matches,6d764149
