,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
78,Joe Burnell,eng ENG,MF,Bath City,30,1980,33,32,2476,27.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,320ac499
79,Ashley Cain,eng ENG,MF,Tamworth,20,1990,16,12,1050,11.7,0,2,2,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,3f817c16
80,Ashley Cain,eng ENG,MF,Telford United,20,1990,23,16,1457,16.2,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,3f817c16
81,John Campbell,eng ENG,FW,Darlington,22,1988,12,4,405,4.5,1,1,2,1,0,0,1,0,0.22,0.22,0.44,0.22,0.44,04db33f2
82,Marc Canham,eng ENG,MF,Bath City,28,1982,38,36,3073,34.1,5,7,12,0,5,5,3,1,0.15,0.21,0.35,0.00,0.21,12c237c6
83,Sean Canham,eng ENG,FW,Bath City,26,1984,24,22,1910,21.2,10,3,13,8,2,2,5,1,0.47,0.14,0.61,0.38,0.52,237a59fa
84,Paul Carden,eng ENG,MF,Luton Town,32,1979,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1ec5ddea
85,Ashley Carew,eng ENG,MF,Cambridge,25,1985,29,29,2363,26.3,5,7,12,4,1,3,6,0,0.19,0.27,0.46,0.15,0.42,84958767
86,Chris Carruthers,eng ENG,DFMF,Gateshead,27,1983,21,19,1663,18.5,0,3,3,0,0,0,4,1,0.00,0.16,0.16,0.00,0.16,cde102fd
87,Peter Cavanagh,eng ENG,DF,Fleetwood Town,29,1981,23,23,1986,22.1,3,4,7,3,0,0,8,0,0.14,0.18,0.32,0.14,0.32,477b63a0
88,Nick Chadwick,eng ENG,FW,Stockport,28,1982,19,17,1386,15.4,7,1,8,6,1,1,1,0,0.45,0.06,0.52,0.39,0.45,b6602cb4
89,Jon Challinor,eng ENG,DFMF,York City,30,1980,39,35,3197,35.5,2,4,6,2,0,0,8,0,0.06,0.11,0.17,0.06,0.17,42e374b2
90,Jon Challinor,eng ENG,DFMF,Kettering Town,30,1980,4,2,221,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,42e374b2
91,Elliott Chamberlain,wls WAL,FW,Telford United,19,1992,2,1,82,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,81d2f77a
92,Elliott Chamberlain,wls WAL,FW,Stockport,19,1992,5,0,122,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,81d2f77a
93,Ashley Chambers,eng ENG,FWMF,York City,21,1990,42,34,3051,33.9,9,8,17,9,0,1,1,0,0.27,0.24,0.50,0.27,0.50,0c76743b
94,Jamie Chandler,eng ENG,MF,Gateshead,22,1989,13,13,1104,12.3,1,1,2,1,0,0,1,1,0.08,0.08,0.16,0.08,0.16,b01aa4dc
95,Jamie Chandler,eng ENG,MF,Darlington,22,1989,24,23,1940,21.6,2,0,2,2,0,0,7,0,0.09,0.00,0.09,0.09,0.09,b01aa4dc
96,Adam Chapman,nir NIR,MF,Newport County,21,1989,4,3,300,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,cdce8c2f
97,Ryan Charles,eng ENG,FWMF,Newport County,21,1989,13,12,908,10.1,1,1,2,1,0,0,1,1,0.10,0.10,0.20,0.10,0.20,4d05ebf4
98,Ryan Charles,eng ENG,FWMF,Cambridge,21,1989,19,6,795,8.8,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,4d05ebf4
99,Kieran Charnock,eng ENG,DF,Fleetwood Town,26,1984,4,4,360,4.0,1,0,1,1,0,0,1,1,0.25,0.00,0.25,0.25,0.25,944a5601
100,Chibuzor Chilaka,ng NGA,FWMF,Braintree Town,24,1986,25,6,733,8.1,2,2,4,2,0,0,0,0,0.25,0.25,0.49,0.25,0.49,b3eb1a76
101,Iyseden Christie,eng ENG,FW,Tamworth,34,1976,33,22,2020,22.4,11,1,12,5,6,7,8,0,0.49,0.04,0.53,0.22,0.27,93a58dd8
102,Jean-François Christophe,fr FRA,MF,Lincoln City,24,1987,27,22,2020,22.4,2,0,2,2,0,0,5,1,0.09,0.00,0.09,0.09,0.09,e376d28e
103,Adrian Cieślewicz,pl POL,FW,Wrexham,20,1990,44,18,2058,22.9,6,3,9,6,0,0,1,0,0.26,0.13,0.39,0.26,0.39,4b779cb2
104,Sean Clancy,eng ENG,DF,Fleetwood Town,23,1987,11,7,580,6.4,3,1,4,3,0,0,0,0,0.47,0.16,0.62,0.47,0.62,51c4d755
105,Jamie Clapham,eng ENG,DF,Kettering Town,35,1975,3,2,182,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1df59e7b
106,Ben Clark,eng ENG,DF,Gateshead,28,1983,40,40,3559,39.5,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,3cd1c96c
107,Craig Clay,eng ENG,DFMF,Alfreton Town,19,1992,4,2,194,2.2,1,0,1,1,0,0,0,0,0.46,0.00,0.46,0.46,0.46,c003124a
108,Charlie Clough,eng ENG,DF,Bath City,20,1990,12,10,848,9.4,1,0,1,1,0,0,5,1,0.11,0.00,0.11,0.11,0.11,765ff543
109,Charlie Collins,eng ENG,FW,Tamworth,19,1991,6,6,394,4.4,0,1,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,8853d3bd
110,Jamie Collins,eng ENG,DFMF,Forest Green,26,1984,12,12,1032,11.5,2,0,2,2,0,0,0,1,0.17,0.00,0.17,0.17,0.17,d4d081d1
111,Joe Collister,eng ENG,GK,Tamworth,19,1991,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,a70b5e21
112,Séamus Conneely,ie IRL,MF,Alfreton Town,23,1988,8,7,667,7.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,9c9fee3a
113,Adam Connolly,eng ENG,MF,Bath City,25,1986,43,41,3609,40.1,4,0,4,4,0,0,3,0,0.10,0.00,0.10,0.10,0.10,d70649d3
114,Joe Connor,eng ENG,MF,Stockport,25,1986,21,19,1746,19.4,3,1,4,3,0,0,3,0,0.15,0.05,0.21,0.15,0.21,7d10f1cc
115,Paul Connor,eng ENG,FW,Mansfield Town,32,1979,15,4,537,6.0,4,1,5,4,0,0,1,0,0.67,0.17,0.84,0.67,0.84,550fc868
116,Leon Constantine,eng ENG,FW,Braintree Town,33,1978,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,107bc8b1
117,Andy Cook,eng ENG,FW,Barrow,20,1990,38,34,2849,31.7,17,2,19,17,0,0,5,3,0.54,0.06,0.60,0.54,0.60,ef9bbaf3
118,Jamie Cook,eng ENG,FWMF,Bath City,31,1979,24,13,1165,12.9,1,1,2,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,57bd568c
119,Ashley Corker,eng ENG,DF,Cambridge,20,1990,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,797a8951
120,Josh Coulson,eng ENG,DFMF,Cambridge,22,1989,32,32,2813,31.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,9af2822d
121,Michael Coulson,eng ENG,FWMF,Grimsby Town,23,1988,43,38,3467,38.5,8,15,23,8,0,0,7,0,0.21,0.39,0.60,0.21,0.60,57859e84
122,Duane Courtney,eng ENG,DF,Tamworth,26,1985,20,18,1649,18.3,1,0,1,1,0,0,1,0,0.05,0.00,0.05,0.05,0.05,b988a767
123,Mark Creighton,eng ENG,DF,Wrexham,29,1981,39,38,3442,38.2,3,4,7,3,0,0,2,0,0.08,0.10,0.18,0.08,0.18,a2448147
124,Lance Cronin,eng ENG,GK,Ebbsfleet United,25,1985,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,dca46a5d
125,Danny Crow,eng ENG,FW,Luton Town,25,1986,29,23,1877,20.9,9,1,10,9,0,2,3,0,0.43,0.05,0.48,0.43,0.48,1e832e99
126,Ryan Crowther,eng ENG,MF,Fleetwood Town,22,1988,3,0,107,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,7b9482fb
127,Micky Cummins,ie IRL,MF,Gateshead,33,1978,43,41,3360,37.3,9,3,12,9,0,0,0,0,0.24,0.08,0.32,0.24,0.32,34740908
128,Adam Cunnington,eng ENG,FW,Alfreton Town,23,1987,10,7,644,7.2,2,0,2,2,0,0,0,0,0.28,0.00,0.28,0.28,0.28,eea4ec90
129,Adam Cunnington,eng ENG,FW,Kettering Town,23,1987,12,9,819,9.1,5,1,6,4,1,1,3,1,0.55,0.11,0.66,0.44,0.55,eea4ec90
130,Cameron Darkwah,eng ENG,FWMF,Stockport,18,1992,7,0,180,2.0,2,0,2,2,0,0,0,0,1.00,0.00,1.00,1.00,1.00,30830220
131,Karl Darlow,wls WAL,GK,Newport County,20,1990,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,cde3309f
132,Jamie Darvill,eng ENG,FW,Ebbsfleet United,23,1988,9,4,353,3.9,2,1,3,2,0,0,0,0,0.51,0.25,0.76,0.51,0.76,4c772a8a
133,Richard Davies,eng ENG,MF,Telford United,21,1990,34,29,2492,27.7,3,3,6,3,0,0,15,0,0.11,0.11,0.22,0.11,0.22,199242ab
134,Scott Davies,eng ENG,GK,Fleetwood Town,24,1987,46,46,4140,46.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,bdf43e41
135,Sol Davis,eng ENG,DF,Kettering Town,31,1979,36,36,3144,34.9,0,1,1,0,0,0,7,2,0.00,0.03,0.03,0.00,0.03,5c850c76
136,Josh Dawkin,wls WAL,MF,Kettering Town,19,1992,12,9,921,10.2,1,1,2,1,0,0,0,0,0.10,0.10,0.20,0.10,0.20,46f8fe89
137,Josh Dawkin,wls WAL,MF,Cambridge,19,1992,5,2,260,2.9,1,1,2,1,0,0,0,0,0.35,0.35,0.69,0.35,0.69,46f8fe89
138,Joe Day,eng ENG,GK,Alfreton Town,20,1990,15,15,1305,14.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,269e8622
139,Tim Deasy,eng ENG,GK,Gateshead,25,1985,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,a98632d0
140,Mickey Demetriou,eng ENG,DF,Harriers,21,1990,26,23,2100,23.3,0,4,4,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,2acf1ee3
141,John Dempster,sct SCO,DF,Mansfield Town,28,1983,11,10,891,9.9,3,0,3,3,0,0,2,0,0.30,0.00,0.30,0.30,0.30,98c2f1ae
142,John Dempster,sct SCO,DF,Kettering Town,28,1983,5,5,379,4.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,98c2f1ae
143,Nicky Deverdics,eng ENG,DFMF,Alfreton Town,23,1987,6,3,334,3.7,0,1,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,c68cbb16
144,Craig Disley,eng ENG,MF,Grimsby Town,29,1981,44,44,3842,42.7,1,4,5,1,0,0,9,0,0.02,0.09,0.12,0.02,0.12,90db9266
145,Craig Dobson,jm JAM,MF,Kettering Town,27,1984,1,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,d63b9d13
146,Tommy Doherty,nir NIR,MF,Newport County,32,1979,19,18,1474,16.4,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,9dfe211d
147,Tommy Doherty,nir NIR,MF,Bath City,32,1979,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,9dfe211d
148,Chris Doig,sct SCO,DF,York City,30,1981,10,10,797,8.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,20d3bebd
149,George Donnelly,eng ENG,FW,Fleetwood Town,23,1988,5,2,232,2.6,1,0,1,1,0,0,1,0,0.39,0.00,0.39,0.39,0.39,85fa3416
150,Robert Duffy,wls WAL,FW,Grimsby Town,28,1982,35,17,1599,17.8,6,4,10,6,0,0,7,0,0.34,0.23,0.56,0.34,0.56,3faed998
151,Paul Dummett,wls WAL,DF,Gateshead,19,1991,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3fe6bd8c
152,Harrison Dunk,eng ENG,DFMF,Cambridge,20,1990,23,18,1437,16.0,6,1,7,6,0,0,2,1,0.38,0.06,0.44,0.38,0.44,7a7bac17
153,Ross Dyer,eng ENG,FW,Mansfield Town,23,1988,44,41,3584,39.8,8,4,12,8,0,0,3,0,0.20,0.10,0.30,0.20,0.30,d6a5248f
154,Robert Eagle,eng ENG,MF,Alfreton Town,24,1987,3,2,175,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,8581585c
155,Robert Eagle,eng ENG,MF,Grimsby Town,24,1987,11,3,463,5.1,0,2,2,0,0,0,1,0,0.00,0.39,0.39,0.00,0.39,8581585c
156,Clint Easton,eng ENG,DFMF,Ebbsfleet United,33,1977,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,b334dc77
