,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
10,Gabriel Agbonlahor,eng ENG,FW,Aston Villa,28,1986,15,13,1031,11.5,1,2,3,1,0,0,0,0,0.09,0.17,0.26,0.09,0.26,Matches,db80f5f1
11,Sergio Agüero,ar ARG,FW,Manchester City,27,1988,30,29,2360,26.2,24,2,26,20,4,5,1,0,0.92,0.08,0.99,0.76,0.84,Matches,4d034881
12,Nathan Aké,nl NED,DF,Watford,20,1995,24,20,1875,20.8,1,0,1,1,0,0,4,1,0.05,0.00,0.05,0.05,0.05,Matches,eaeca114
13,Marc Albrighton,eng ENG,MF,Leicester City,25,1989,38,34,2749,30.5,2,6,8,2,0,0,4,0,0.07,0.20,0.26,0.07,0.26,Matches,b827d5b3
14,Toby Alderweireld,be BEL,DF,Tottenham,26,1989,38,38,3419,38.0,4,2,6,4,0,0,3,0,0.11,0.05,0.16,0.11,0.16,Matches,f7d50789
15,Joe Allen,wls WAL,MF,Liverpool,25,1990,19,8,735,8.2,2,1,3,2,0,0,0,0,0.24,0.12,0.37,0.24,0.37,Matches,9feb8f24
16,Dele Alli,eng ENG,MF,Tottenham,19,1996,33,28,2470,27.4,10,9,19,10,0,0,7,0,0.36,0.33,0.69,0.36,0.69,Matches,cea4ee8f
17,Ryan Allsop,eng ENG,GK,Bournemouth,23,1992,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,af615123
18,Daniel Amartey,gh GHA,DF,Leicester City,20,1994,5,1,104,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1a4ef233
19,Jordi Amat,id IDN,DF,Swansea City,23,1992,8,5,463,5.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d70a2141
20,Jordan Amavi,fr FRA,DF,Aston Villa,21,1994,10,9,837,9.3,0,2,2,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22,Matches,22721b88
21,Nordin Amrabat,ma MAR,MFFW,Watford,28,1987,12,4,506,5.6,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,7c2a398c
22,José Ángel Crespo,es ESP,FW,Aston Villa,28,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8ec4c2f7
23,Victor Anichebe,ng NGA,FW,West Brom,27,1988,10,3,369,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4aed5c19
24,Vurnon Anita,cw CUW,MFDF,Newcastle,26,1989,28,24,2101,23.3,1,3,4,1,0,0,6,0,0.04,0.13,0.17,0.04,0.17,Matches,2d368fd5
25,Michail Antonio,jm JAM,MFFW,West Ham,25,1990,26,23,2057,22.9,8,3,11,8,0,0,3,0,0.35,0.13,0.48,0.35,0.48,Matches,ac05f970
26,Ikechi Anya,sct SCO,MFDF,Watford,27,1988,28,17,1686,18.7,0,1,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches,c55e973d
27,Giedrius Arlauskis,lt LTU,GK,Watford,27,1987,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1858bbf7
28,Marko Arnautović,at AUT,MFFW,Stoke City,26,1989,34,33,2807,31.2,11,6,17,8,3,3,2,0,0.35,0.19,0.55,0.26,0.45,Matches,00459419
29,Harry Arter,ie IRL,MF,Bournemouth,25,1989,21,21,1661,18.5,1,0,1,1,0,0,7,0,0.05,0.00,0.05,0.05,0.05,Matches,2f4c5a52
30,Mikel Arteta,es ESP,MF,Arsenal,33,1982,9,0,169,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d934d1e6
31,Charlie Austin,eng ENG,FW,Southampton,26,1989,7,2,211,2.3,1,0,1,1,0,0,0,0,0.43,0.00,0.43,0.43,0.43,Matches,8d228291
32,André Ayew,gh GHA,MFFW,Swansea City,25,1989,34,34,2925,32.5,12,2,14,12,0,0,5,0,0.37,0.06,0.43,0.37,0.43,Matches,5dbefa9d
33,Jordan Ayew,gh GHA,FW,Aston Villa,23,1991,30,27,2349,26.1,7,0,7,6,1,1,6,1,0.27,0.00,0.27,0.23,0.23,Matches,da052c14
34,César Azpilicueta,es ESP,DF,Chelsea,25,1989,37,36,3199,35.5,2,3,5,2,0,0,7,0,0.06,0.08,0.14,0.06,0.14,Matches,53cad200
35,Leandro Bacuna,cw CUW,DFMF,Aston Villa,23,1991,31,27,2417,26.9,1,0,1,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,Matches,9dc69d38
36,Leighton Baines,eng ENG,DF,Everton,30,1984,18,16,1479,16.4,2,1,3,1,1,1,0,0,0.12,0.06,0.18,0.06,0.12,Matches,b18095b6
37,Patrick Bamford,eng ENG,FW,Norwich City,21,1993,7,2,238,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,93feac6e
38,Patrick Bamford,eng ENG,FWMF,Crystal Palace,21,1993,6,0,124,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,93feac6e
39,Phil Bardsley,sct SCO,DF,Stoke City,30,1985,11,9,817,9.1,0,1,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches,1ae30132
40,Ross Barkley,eng ENG,MF,Everton,21,1993,38,36,3075,34.2,8,8,16,6,2,2,4,0,0.23,0.23,0.47,0.18,0.41,Matches,3a24769f
41,Modou Barrow,gm GAM,MFFW,Swansea City,22,1992,22,6,791,8.8,1,2,3,1,0,0,0,0,0.11,0.23,0.34,0.11,0.34,Matches,75783f5f
42,Gareth Barry,eng ENG,MF,Everton,34,1981,33,32,2836,31.5,0,1,1,0,0,0,7,1,0.00,0.03,0.03,0.00,0.03,Matches,7dbbe367
43,Kyle Bartley,eng ENG,DF,Swansea City,24,1991,5,3,286,3.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,18e96f64
44,Sébastien Bassong,cm CMR,DF,Norwich City,29,1986,32,30,2790,31.0,1,0,1,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,Matches,0d521662
45,Asmir Begović,ba BIH,GK,Chelsea,28,1987,17,15,1399,15.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7b4de647
46,Valon Behrami,ch SUI,MF,Watford,30,1985,21,14,1279,14.2,0,1,1,0,0,0,3,1,0.00,0.07,0.07,0.00,0.07,Matches,d3d758d8
47,Héctor Bellerín,es ESP,DF,Arsenal,20,1995,36,36,3240,36.0,1,5,6,1,0,0,3,0,0.03,0.14,0.17,0.03,0.17,Matches,f874dd44
