,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
482,Chris Smalling,eng ENG,DF,Manchester Utd,20,1989,16,11,1086,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b6964eb6
483,Alan Smith,eng ENG,FWMF,Newcastle,29,1980,11,7,580,6.4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,fdac06ea
484,Alexandre Song,cm CMR,DFMF,Arsenal,22,1987,31,30,2592,28.8,4,2,6,4,0,0,9,1,0.14,0.07,0.21,0.14,0.21,Matches,1c32281d
485,Keith Southern,eng ENG,MF,Blackpool,29,1981,21,11,1093,12.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,8db518ba
486,Jay Spearing,eng ENG,MF,Liverpool,21,1988,11,10,796,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f26579f5
487,Jonathan Spector,us USA,DFMF,West Ham,24,1986,14,10,929,10.3,1,0,1,1,0,0,2,0,0.1,0,0.1,0.1,0.1,Matches,3670bd5c
488,Jordan Spence,eng ENG,DF,West Ham,20,1990,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f7780381
489,Sébastien Squillaci,fr FRA,DF,Arsenal,29,1980,22,20,1820,20.2,1,0,1,1,0,0,1,0,0.05,0,0.05,0.05,0.05,Matches,f7ec06db
490,Ronnie Stam,nl NED,DFMF,Wigan Athletic,26,1984,25,17,1577,17.5,1,0,1,1,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches,eb383c11
491,Junior Stanislas,eng ENG,MF,West Ham,20,1989,6,4,348,3.9,1,0,1,1,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches,6992791d
492,Richard Stearman,eng ENG,DF,Wolves,22,1987,31,27,2501,27.8,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches,9a3a436e
493,Grétar Steinsson,is ISL,DF,Bolton,28,1982,23,23,1987,22.1,1,0,1,1,0,0,6,0,0.05,0,0.05,0.05,0.05,Matches,a79e86c4
494,David Stockdale,eng ENG,GK,Fulham,24,1985,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,dc168826
495,Daniel Sturridge,eng ENG,FWMF,Bolton,20,1989,12,11,972,10.8,8,0,8,8,0,0,0,1,0.74,0,0.74,0.74,0.74,Matches,1b7ec703
496,Daniel Sturridge,eng ENG,FWMF,Chelsea,20,1989,13,0,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1b7ec703
497,Luis Suárez,uy URU,FW,Liverpool,23,1987,13,12,1100,12.2,4,3,7,4,0,0,2,0,0.33,0.25,0.57,0.33,0.57,Matches,a6154613
498,Ludovic Sylvestre,gp GLP,MF,Blackpool,26,1984,8,6,427,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,37103874
499,Wojciech Szczęsny,pl POL,GK,Arsenal,20,1990,15,15,1350,15,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,01b8a2b2
500,Thomas Sørensen,dk DEN,GK,Stoke City,34,1976,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,31d82fec
501,Gabriel Tamaș,ro ROU,DF,West Brom,26,1983,26,22,2041,22.7,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches,5d2c2f2b
502,Matthew Taylor,eng ENG,DFMF,Bolton,28,1981,36,22,1923,21.4,2,3,5,2,0,0,4,0,0.09,0.14,0.23,0.09,0.23,Matches,3b2c9cac
503,Ryan Taylor,eng ENG,DFMF,Newcastle,25,1984,5,3,277,3.1,0,1,1,0,0,0,0,1,0,0.32,0.32,0,0.32,Matches,5c6dd7bc
504,Steven Taylor,eng ENG,DF,Newcastle,24,1986,14,12,1008,11.2,3,1,4,3,0,0,2,0,0.27,0.09,0.36,0.27,0.36,Matches,9f9ba8ca
505,Gary Taylor-Fletcher,eng ENG,FWMF,Blackpool,29,1981,31,29,2445,27.2,6,4,10,6,0,0,4,0,0.22,0.15,0.37,0.22,0.37,Matches,62c612b8
506,Somen Tchoyi,cm CMR,MF,West Brom,27,1983,23,7,830,9.2,6,1,7,6,0,0,0,0,0.65,0.11,0.76,0.65,0.76,Matches,84f5fc82
507,John Terry,eng ENG,DF,Chelsea,29,1980,33,33,2961,32.9,3,1,4,3,0,0,6,0,0.09,0.03,0.12,0.09,0.12,Matches,68517cfd
508,Carlos Tevez,ar ARG,FWMF,Manchester City,26,1984,31,30,2511,27.9,20,6,26,15,5,6,6,0,0.72,0.22,0.93,0.54,0.75,Matches,c1a26d43
509,Hendry Thomas,hn HON,MF,Wigan Athletic,25,1985,24,22,1880,20.9,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches,bf53ebe9
510,Jerome Thomas,eng ENG,FWMF,West Brom,27,1983,33,32,2568,28.5,3,5,8,3,0,0,4,0,0.11,0.18,0.28,0.11,0.28,Matches,94cf0dab
511,George Thorne,eng ENG,MF,West Brom,17,1993,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e1a933d2
512,Cheick Tioté,ci CIV,MF,Newcastle,24,1986,26,26,2308,25.6,1,1,2,1,0,0,14,0,0.04,0.04,0.08,0.04,0.08,Matches,e1270968
513,James Tomkins,eng ENG,DFMF,West Ham,21,1989,19,18,1579,17.5,1,1,2,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,Matches,e7ca0439
514,Michael Tonge,eng ENG,MF,Stoke City,27,1983,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,046f30a8
515,Fernando Torres,es ESP,FW,Liverpool,26,1984,23,22,1891,21,9,2,11,9,0,0,6,0,0.43,0.1,0.52,0.43,0.52,Matches,bdf7b97d
516,Fernando Torres,es ESP,FW,Chelsea,26,1984,14,8,765,8.5,1,2,3,1,0,0,1,0,0.12,0.24,0.35,0.12,0.35,Matches,bdf7b97d
517,Kolo Touré,ci CIV,DF,Manchester City,29,1981,22,21,1845,20.5,1,0,1,1,0,0,4,1,0.05,0,0.05,0.05,0.05,Matches,3301c9f4
518,Yaya Touré,ci CIV,MF,Manchester City,27,1983,35,35,2965,32.9,8,4,12,8,0,0,3,0,0.24,0.12,0.36,0.24,0.36,Matches,c204f844
519,Michael Turner,eng ENG,DF,Sunderland,26,1983,15,15,1305,14.5,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,422a65eb
520,Matt Upson,eng ENG,DF,West Ham,31,1979,30,30,2470,27.4,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,1a6e6d03
521,Antonio Valencia,ec ECU,DFMF,Manchester Utd,24,1985,10,8,742,8.2,1,2,3,1,0,0,1,0,0.12,0.24,0.36,0.12,0.36,Matches,08aa17d0
522,Jelle Van Damme,be BEL,DFMF,Wolves,26,1983,6,4,276,3.1,1,1,2,1,0,0,2,0,0.33,0.33,0.65,0.33,0.65,Matches,406eb232
523,Luke Varney,eng ENG,FWMF,Blackpool,27,1982,30,24,2032,22.6,5,3,8,5,0,0,1,0,0.22,0.13,0.35,0.22,0.35,Matches,1757d8ed
524,David Vaughan,wls WAL,MF,Blackpool,27,1983,35,35,3150,35,2,2,4,2,0,0,6,0,0.06,0.06,0.11,0.06,0.11,Matches,b950cb68
525,James Vaughan,eng ENG,FW,Everton,22,1988,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4fb0dc59
526,Carlos Vela,mx MEX,FWMF,Arsenal,21,1989,4,0,65,0.7,1,0,1,1,0,0,0,0,1.38,0,1.38,1.38,1.38,Matches,e0cd04e0
527,Carlos Vela,mx MEX,FWMF,West Brom,21,1989,8,3,321,3.6,2,1,3,2,0,0,0,0,0.56,0.28,0.84,0.56,0.84,Matches,e0cd04e0
528,Apostolos Vellios,gr GRE,FW,Everton,18,1992,3,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,44918bf5
529,Thomas Vermaelen,be BEL,DF,Arsenal,24,1985,5,5,450,5,0,1,1,0,0,0,0,0,0,0.2,0.2,0,0.2,Matches,d0d79694
530,Nemanja Vidić,rs SRB,DF,Manchester Utd,28,1981,35,35,3115,34.6,5,1,6,5,0,0,8,1,0.14,0.03,0.17,0.14,0.17,Matches,4b30b37e
531,Patrick Vieira,fr FRA,MF,Manchester City,34,1976,15,4,495,5.5,2,0,2,2,0,0,2,0,0.36,0,0.36,0.36,0.36,Matches,f90f1086
532,Sam Vokes,wls WAL,FW,Wolves,20,1989,2,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1d6ac165
533,Reece Wabara,eng ENG,DF,Manchester City,18,1991,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0c7d15af
534,Martyn Waghorn,eng ENG,FWMF,Sunderland,20,1990,2,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8ebea784
535,Theo Walcott,eng ENG,FWMF,Arsenal,21,1989,28,19,1691,18.8,9,7,16,9,0,0,0,0,0.48,0.37,0.85,0.48,0.85,Matches,1ecb65be
536,Kyle Walker,eng ENG,DFMF,Tottenham,20,1990,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,86dd77d1
537,Kyle Walker,eng ENG,DFMF,Aston Villa,20,1990,15,15,1337,14.9,1,3,4,1,0,0,3,0,0.07,0.2,0.27,0.07,0.27,Matches,86dd77d1
538,Jonathan Walters,ie IRL,FWMF,Stoke City,26,1983,36,27,2341,26,6,2,8,5,1,1,4,0,0.23,0.08,0.31,0.19,0.27,Matches,0356cf4f
539,Stephen Ward,ie IRL,DFFW,Wolves,24,1985,34,27,2396,26.6,1,1,2,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matches,3831b9fe
540,Stephen Warnock,eng ENG,DF,Aston Villa,28,1981,19,19,1710,19,0,2,2,0,0,0,8,0,0,0.11,0.11,0,0.11,Matches,7869028
541,Ben Watson,eng ENG,MF,Wigan Athletic,25,1985,29,23,2124,23.6,3,1,4,1,2,2,3,0,0.13,0.04,0.17,0.04,0.08,Matches,df540668
542,Andreas Weimann,at AUT,FWMF,Aston Villa,18,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5996ffd9
543,Danny Welbeck,eng ENG,FWMF,Sunderland,19,1990,26,21,1756,19.5,6,1,7,6,0,0,2,0,0.31,0.05,0.36,0.31,0.36,Matches,ce5143da
544,David Wheater,eng ENG,DF,Bolton,23,1987,7,5,538,6,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2ad3ea29
545,Glenn Whelan,ie IRL,MF,Stoke City,26,1984,29,14,1358,15.1,0,1,1,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches,d5bd56a5
546,Dean Whitehead,eng ENG,DFMF,Stoke City,28,1982,37,31,2902,32.2,2,1,3,2,0,0,6,0,0.06,0.03,0.09,0.06,0.09,Matches,a32204c9
547,Andy Wilkinson,eng ENG,DF,Stoke City,25,1984,22,21,1746,19.4,0,1,1,0,0,0,4,0,0,0.05,0.05,0,0.05,Matches,9aca56d3
548,Mike Williamson,eng ENG,DF,Newcastle,26,1983,29,28,2565,28.5,0,1,1,0,0,0,5,0,0,0.04,0.04,0,0.04,Matches,98fbb38d
549,Jack Wilshere,eng ENG,MF,Arsenal,18,1992,35,31,2639,29.3,1,3,4,1,0,0,7,1,0.03,0.1,0.14,0.03,0.14,Matches,9c318325
550,Danny Wilson,sct SCO,DF,Liverpool,18,1991,2,1,157,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,9cfe9254
551,Marc Wilson,ie IRL,DFMF,Stoke City,22,1987,28,21,1855,20.6,1,1,2,1,0,0,7,0,0.05,0.05,0.1,0.05,0.1,Matches,c325c010
552,Chris Wood,nz NZL,FW,West Brom,18,1991,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4e9a0555
553,Shaun Wright-Phillips,eng ENG,FWMF,Manchester City,28,1981,7,2,205,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e1e0b05f
554,Xisco,es ESP,FW,Newcastle,24,1986,2,0,22,0.2,0,1,1,0,0,0,0,0,0,4.09,4.09,0,4.09,Matches,d2790f7a
555,Ashley Young,eng ENG,DFFW,Aston Villa,25,1985,34,34,3050,33.9,7,10,17,3,4,5,8,0,0.21,0.3,0.5,0.09,0.38,Matches,be927d03
556,Luke Young,eng ENG,DF,Aston Villa,31,1979,23,23,2070,23,1,1,2,1,0,0,1,0,0.04,0.04,0.09,0.04,0.09,Matches,409a29d7
557,Pablo Zabaleta,ar ARG,DFMF,Manchester City,25,1985,26,21,1948,21.6,2,2,4,2,0,0,8,1,0.09,0.09,0.18,0.09,0.18,Matches,6813ac34
558,Bobby Zamora,eng ENG,FW,Fulham,29,1981,14,9,757,8.4,5,5,10,4,1,1,2,0,0.59,0.59,1.19,0.48,1.07,Matches,7ddb3563
559,Boudewijn Zenden,nl NED,DFFW,Sunderland,33,1976,27,10,1122,12.5,2,3,5,2,0,0,2,1,0.16,0.24,0.4,0.16,0.4,Matches,4e27a622
560,Yuri Zhirkov,ru RUS,DFMF,Chelsea,26,1983,12,6,608,6.8,0,2,2,0,0,0,1,0,0,0.3,0.3,0,0.3,Matches,ed2b33cb
561,Nikola Žigić,rs SRB,FW,Birmingham City,29,1980,25,13,1319,14.7,5,3,8,5,0,0,4,0,0.34,0.2,0.55,0.34,0.55,Matches,aad584e0
562,Ronald Zubar,fr FRA,DF,Wolves,24,1985,15,14,1260,14,1,0,1,1,0,0,4,0,0.07,0,0.07,0.07,0.07,Matches,57935ba0
563,Gianni Zuiverloon,nl NED,DF,West Brom,23,1986,2,1,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,22d7fe43
