,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
100,Marek Čech,sk SVK,DF,West Brom,27,1983,15,14,1216,13.5,0,1,1,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches,4261b6d5
101,Petr Čech,cz CZE,GK,Chelsea,28,1982,38,38,3420,38,0,1,1,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches,71672fa0
102,Marouane Chamakh,ma MAR,FW,Arsenal,26,1984,29,18,1845,20.5,7,4,11,7,0,0,5,0,0.34,0.2,0.54,0.34,0.54,Matches,790ca5f3
103,Pascal Chimbonda,fr FRA,DF,Blackburn,31,1979,6,3,365,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,5cbb464e
104,Lee Chung-yong,kr KOR,FWMF,Bolton,22,1988,31,25,2185,24.3,3,6,9,3,0,0,1,0,0.12,0.25,0.37,0.12,0.37,Matches,49b05a83
105,Ciaran Clark,ie IRL,DFMF,Aston Villa,20,1989,19,16,1569,17.4,3,0,3,3,0,0,9,0,0.17,0,0.17,0.17,0.17,Matches,2b91cf8e
106,Tom Cleverley,eng ENG,MF,Wigan Athletic,20,1989,25,19,1637,18.2,4,2,6,4,0,0,1,0,0.22,0.11,0.33,0.22,0.33,Matches,6cdd8245
107,Gaël Clichy,fr FRA,DF,Arsenal,25,1985,33,33,2970,33,0,1,1,0,0,0,3,0,0,0.03,0.03,0,0.03,Matches,450ad405
108,Tamir Cohen,il ISR,MF,Bolton,26,1984,8,3,326,3.6,1,0,1,1,0,0,1,0,0.28,0,0.28,0.28,0.28,Matches,d1b983de
109,Jack Colback,eng ENG,MF,Sunderland,20,1989,11,6,589,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,963a9201
110,Ashley Cole,eng ENG,DF,Chelsea,29,1980,38,38,3385,37.6,0,3,3,0,0,0,4,0,0,0.08,0.08,0,0.08,Matches,be091289
111,Carlton Cole,eng ENG,FW,West Ham,26,1983,35,21,2120,23.6,5,2,7,5,0,1,4,0,0.21,0.08,0.3,0.21,0.3,Matches,51b2effb
112,Joe Cole,eng ENG,MF,Liverpool,28,1981,20,9,801,8.9,2,1,3,2,0,0,1,1,0.22,0.11,0.34,0.22,0.34,Matches,2c2f117b
113,Séamus Coleman,ie IRL,DFMF,Everton,21,1988,34,25,2259,25.1,4,1,5,4,0,0,6,1,0.16,0.04,0.2,0.16,0.2,Matches,0420d84f
114,Danny Collins,wls WAL,DF,Stoke City,29,1980,25,23,2030,22.6,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches,b89cd819
115,James Collins,wls WAL,DF,Aston Villa,26,1983,32,31,2854,31.7,3,0,3,3,0,0,5,0,0.09,0,0.09,0.09,0.09,Matches,c61f1719
116,Jack Collison,wls WAL,MF,West Ham,21,1988,3,2,200,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0566f8a9
