,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
78,Jake Cain,eng ENG,MF,Liverpool,19,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a33ce8e2
79,Elijah Campbell,eng ENG,DFMF,Everton,16,2004,17,13,1198,13.3,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches,48ba3f58
80,Tom Cannon,ie IRL,FW,Everton,18,2002,23,17,1643,18.3,8,0,8,8,0,0,1,0,0.44,0.00,0.44,0.44,0.44,Matches,4506aec5
81,Keenan Carole,fr FRA,FW,Leeds United,16,2004,2,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,94a4b688
82,Álvaro Carreras,es ESP,DFMF,Manchester Utd,18,2003,23,23,2031,22.6,3,4,7,3,0,0,6,2,0.13,0.18,0.31,0.13,0.31,Matches,33a68b9b
83,Hayden Carter,eng ENG,DF,Blackburn,21,1999,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,40f85b8f
84,Henry Cartwright,eng ENG,MF,Leicester City,16,2004,3,1,132,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0b6dfc4f
85,Eiran Cashin,ie IRL,DF,Derby County,19,2001,13,13,1169,13.0,1,1,2,1,0,0,5,1,0.08,0.08,0.15,0.08,0.15,Matches,f557c3b8
86,Dante Cassanova,jm JAM,DF,Tottenham,17,2004,2,0,50,0.6,0,1,1,0,0,0,0,0,0.00,1.80,1.80,0.00,1.80,Matches,0b8373bb
87,Kallum Cesay,sl SLE,DFMF,Tottenham,18,2002,22,21,1934,21.5,1,0,1,1,0,0,7,1,0.05,0.00,0.05,0.05,0.05,Matches,a653f8a7
88,Kayky Chagas,br BRA,MFFW,Manchester City,18,2003,14,14,1074,11.9,7,4,11,7,0,0,0,0,0.59,0.34,0.92,0.59,0.92,Matches,17734ea0
89,Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5515376c
90,Luke Chambers,eng ENG,DFMF,Liverpool,17,2004,3,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7d6af698
91,Harry Chapman,eng ENG,FWMF,Blackburn,23,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7768b19f
92,Shea Charles,nir NIR,DFMF,Manchester City,17,2003,23,20,1828,20.3,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,5cc3ce65
93,Daniel Chesters,eng ENG,MFFW,West Ham,19,2002,23,22,1833,20.4,2,2,4,2,0,0,4,1,0.10,0.10,0.20,0.10,0.20,Matches,240c8ab6
94,Jeremiah Chilokoa-Mullen,sct SCO,DF,Leeds United,17,2004,11,11,922,10.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3b57a494
95,Samy Chouchane,tn TUN,MF,Brighton,17,2003,5,1,157,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6c1ebbc8
96,Lenni Cirino,ms MSR,DF,Blackburn,18,2003,11,11,989,11.0,0,1,1,0,0,0,2,1,0.00,0.09,0.09,0.00,0.09,Matches,b6eb4bc9
97,Bobby Clark,eng ENG,MF,Liverpool,16,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,73341ace
98,Courtney Clarke,jm JAM,DFMF,Derby County,18,2003,13,11,1025,11.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,98d3d3bf
99,Jack Clarke,eng ENG,FWMF,Tottenham,20,2000,15,15,1248,13.9,3,4,7,3,0,0,6,0,0.22,0.29,0.50,0.22,0.50,Matches,e16932d8
100,Leighton Clarkson,eng ENG,MF,Liverpool,19,2001,12,12,1072,11.9,2,2,4,0,2,3,2,0,0.17,0.17,0.34,0.00,0.17,Matches,d5dafedb
101,Regan Clayton,eng ENG,DF,West Ham,16,2004,2,1,130,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,97855227
102,Thomas Clayton,sct SCO,MFDF,Liverpool,21,2000,24,22,1988,22.1,1,1,2,1,0,0,0,0,0.05,0.05,0.09,0.05,0.09,Matches,e8f15b6d
103,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0442183b
104,Dominic Corness,eng ENG,MF,Liverpool,18,2003,15,3,440,4.9,0,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,Matches,b74b3067
105,Ben Cottrell,eng ENG,MF,Arsenal,19,2001,2,2,133,1.5,1,0,1,0,1,1,0,0,0.68,0.00,0.68,0.00,0.00,Matches,0d901d79
106,Conor Coventry,ie IRL,MF,West Ham,21,2000,3,3,270,3.0,2,0,2,2,0,0,1,0,0.67,0.00,0.67,0.67,0.67,Matches,a5ca9127
107,Amario Cozier-Duberry,eng ENG,FW,Arsenal,16,2005,3,1,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,04eb7d82
108,Matthew Craig,sct SCO,MFDF,Tottenham,18,2003,20,14,1263,14.0,0,1,1,0,0,0,4,1,0.00,0.07,0.07,0.00,0.07,Matches,bc914523
109,Michael Craig,sct SCO,FWDF,Tottenham,18,2003,9,2,343,3.8,0,1,1,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,Matches,efa00ecf
110,William Crellin,eng ENG,GK,Everton,21,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1a85a237
111,Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,14,13,886,9.8,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,4654e5f5
112,Bartosz Cybulski,pl POL,FW,Derby County,18,2002,18,16,1471,16.3,4,2,6,4,0,0,3,0,0.24,0.12,0.37,0.24,0.37,Matches,24533540
113,Bernardo Costa Da Rosa,br BRA,DFMF,West Ham,20,2000,10,5,553,6.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cd3112d5
114,Vani Da Silva,eng ENG,FW,Derby County,18,2002,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9361f254
115,Bradley Dack,eng ENG,MF,Blackburn,27,1993,4,4,285,3.2,1,1,2,1,0,0,0,0,0.32,0.32,0.63,0.32,0.63,Matches,542d4f02
116,Vontae Daley Campbell,eng ENG,DFMF,Leicester City,20,2001,14,14,1260,14.0,1,1,2,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,Matches,192d4c3d
117,Jacob Davenport,eng ENG,MF,Blackburn,22,1998,2,2,180,2.0,2,0,2,1,1,1,1,0,1.00,0.00,1.00,0.50,0.50,Matches,9ca82cdb
118,Harvey Davies,eng ENG,GK,Liverpool,17,2003,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fd08a24b
119,Jezreel Davies,eng ENG,MF,Tottenham,17,2004,1,0,12,0.1,1,0,1,1,0,0,0,0,7.50,0.00,7.50,7.50,7.50,Matches,54b9be69
120,Max Dean,eng ENG,FWMF,Leeds United,17,2004,18,15,1415,15.7,5,0,5,4,1,1,4,0,0.32,0.00,0.32,0.25,0.25,Matches,6d0ea6d9
121,Andrés Del Olmo,es ESP,MF,Derby County,27,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7a9bdd61
122,Liam Delap,eng ENG,FW,Manchester City,18,2003,10,10,793,8.8,8,2,10,8,0,0,3,0,0.91,0.23,1.13,0.91,1.13,Matches,dd897ee7
123,Dani van den Heuvel,nl NED,GK,Leeds United,18,2003,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8952e826
124,Lars Dendoncker,be BEL,DF,Brighton,20,2001,3,3,250,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3fc8d5e3
125,Alfie Devine,eng ENG,MFFW,Tottenham,16,2004,17,16,1396,15.5,9,0,9,9,0,0,3,0,0.58,0.00,0.58,0.58,0.58,Matches,ba08056d
126,Amad Diallo,ci CIV,MF,Manchester Utd,19,2002,2,2,180,2.0,2,1,3,2,0,0,0,0,1.00,0.50,1.50,1.00,1.50,Matches,9dc96f10
127,Amadou Diallo,eng ENG,MF,West Ham,18,2003,8,2,213,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e31708b2
128,Gary Dicker,ie IRL,MF,Brighton,35,1986,8,7,616,6.8,0,1,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches,306a31a4
129,William Dickson,eng ENG,FW,Manchester City,16,2004,2,0,54,0.6,0,1,1,0,0,0,0,0,0.00,1.67,1.67,0.00,1.67,Matches,e4acebb3
130,Jonathan Dinzeyi,eng ENG,DF,Arsenal,21,1999,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4351f1a0
131,Alpha Diounkou,sn SEN,DF,Manchester City,19,2001,1,1,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f21c478a
132,Connor Dixon,eng ENG,MFFW,Derby County,20,2000,15,15,1245,13.8,2,2,4,2,0,0,6,0,0.14,0.14,0.29,0.14,0.29,Matches,9331f6c3
133,Elijah Dixon-Bonner,eng ENG,MF,Liverpool,20,2001,11,6,588,6.5,3,0,3,3,0,0,1,0,0.46,0.00,0.46,0.46,0.46,Matches,931bf61a
134,Mésaque Djú,pt POR,FW,West Ham,22,1999,2,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8af5e040
135,Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,18,17,1395,15.5,6,1,7,6,0,1,0,0,0.39,0.06,0.45,0.39,0.45,Matches,e814e1cf
136,Jamie Donley,nir NIR,FW,Tottenham,16,2005,3,2,200,2.2,0,1,1,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,Matches,5e4d9b48
137,Aidan Dowling,eng ENG,GK,Blackburn,18,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0af94364
138,Cody Drameh,eng ENG,DF,Leeds United,19,2001,9,8,684,7.6,0,2,2,0,0,0,1,0,0.00,0.26,0.26,0.00,0.26,Matches,e0d1510a
139,Luke Dreher,eng ENG,MF,Crystal Palace,22,1998,1,0,37,0.4,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,d1c509d9
140,Sam Durrant,lk SRI,MFFW,Blackburn,19,2002,14,10,931,10.3,0,3,3,0,0,0,2,0,0.00,0.29,0.29,0.00,0.29,Matches,de77fa53
141,Jordan Eastham,eng ENG,GK,Blackburn,19,2001,14,14,1259,14.0,0,1,1,0,0,0,0,1,0.00,0.07,0.07,0.00,0.07,Matches,06ac878b
142,Malcolm Ebiowei,eng ENG,MF,Derby County,17,2003,5,1,152,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fa9fa773
143,James Edmondson,eng ENG,MF,Blackburn,15,2005,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2770b692
144,Samuel Edozie,eng ENG,MFFW,Manchester City,18,2003,12,12,984,10.9,2,1,3,1,1,1,0,0,0.18,0.09,0.27,0.09,0.18,Matches,007414dd
145,Khayon Edwards,eng ENG,MFFW,Arsenal,17,2003,2,2,159,1.8,1,0,1,1,0,0,0,0,0.57,0.00,0.57,0.57,0.57,Matches,c25b2143
146,CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,21,19,1706,19.0,0,1,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,Matches,d313e8ff
147,Ovie Ejeheri,eng ENG,GK,Arsenal,18,2003,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5c407847
148,Pierre Ekwah Elimby,fr FRA,MFDF,West Ham,19,2002,21,20,1825,20.3,3,1,4,3,0,0,1,0,0.15,0.05,0.20,0.15,0.20,Matches,830371be
149,Anthony Elanga,se SWE,MFFW,Manchester Utd,19,2002,8,8,719,8.0,4,2,6,3,1,1,1,1,0.50,0.25,0.75,0.38,0.63,Matches,2fba6108
